Country,Year,Prevalence of raised blood glucose/diabetes in adults (%)
Saint Kitts y Nevis,2000,9.9
Santa Lucía,2000,8.2
San Vicente y las Granadinas,2000,8.2
Suriname,2000,9.5
Trinidad y Tabago,2000,7.1
Estados Unidos de América,2000,6.3
Uruguay,2000,8.2
Venezuela (República Bolivariana de),2000,8.8
Antigua y Barbuda,2001,7.9
Argentina,2001,8.3
Bahamas,2001,10.6
Barbados,2001,9.3
Belice,2001,9.8
Bolivia (Estado Plurinacional de),2001,6.4
Brasil,2001,6.9
Canadá,2001,5.4
Chile,2001,8.8
Colombia,2001,7.3
Costa Rica,2001,7.2
Cuba,2001,7.4
Dominica,2001,8.6
República Dominicana,2001,7.7
Ecuador,2001,6.4
El Salvador,2001,8.5
Granada,2001,7.8
Guatemala,2001,7.6
Guyana,2001,7.5
Haití,2001,5.9
Honduras,2001,6.6
Jamaica,2001,8.3
México,2001,9.6
Nicaragua,2001,8.1
Panamá,2001,7.4
Paraguay,2001,6.2
Perú,2001,6.7
Saint Kitts y Nevis,2001,10.2
Santa Lucía,2001,8.5
San Vicente y las Granadinas,2001,8.4
Suriname,2001,9.7
Trinidad y Tabago,2001,7.3
Estados Unidos de América,2001,6.4
Uruguay,2001,8.3
Venezuela (República Bolivariana de),2001,8.9
Antigua y Barbuda,2002,8.1
Argentina,2002,8.3
Bahamas,2002,10.8
Barbados,2002,9.5
Belice,2002,10.0
Bolivia (Estado Plurinacional de),2002,6.5
Brasil,2002,7.0
Canadá,2002,5.5
Chile,2002,8.9
Colombia,2002,7.4
Costa Rica,2002,7.3
Cuba,2002,7.4
Dominica,2002,8.8
República Dominicana,2002,7.9
Ecuador,2002,6.4
El Salvador,2002,8.6
Granada,2002,8.0
Guatemala,2002,7.7
Guyana,2002,7.7
Haití,2002,6.1
Honduras,2002,6.8
Jamaica,2002,8.6
México,2002,9.8
Nicaragua,2002,8.3
Panamá,2002,7.6
Paraguay,2002,6.3
Perú,2002,6.7
Saint Kitts y Nevis,2002,10.5
Santa Lucía,2002,8.8
San Vicente y las Granadinas,2002,8.6
Suriname,2002,9.8
Trinidad y Tabago,2002,7.6
Estados Unidos de América,2002,6.5
Uruguay,2002,8.3
Venezuela (República Bolivariana de),2002,8.9
Antigua y Barbuda,2003,8.3
Argentina,2003,8.4
Bahamas,2003,10.9
Barbados,2003,9.7
Belice,2003,10.2
Bolivia (Estado Plurinacional de),2003,6.6
Brasil,2003,7.1
Canadá,2003,5.5
Chile,2003,9.0
Colombia,2003,7.5
Costa Rica,2003,7.5
Cuba,2003,7.5
Dominica,2003,8.9
República Dominicana,2003,8.1
Ecuador,2003,6.5
El Salvador,2003,8.8
Granada,2003,8.2
Guatemala,2003,7.9
Guyana,2003,8.0
Haití,2003,6.3
Honduras,2003,7.0
Jamaica,2003,8.8
México,2003,9.9
Nicaragua,2003,8.4
Panamá,2003,7.7
Paraguay,2003,6.5
Perú,2003,6.7
Saint Kitts y Nevis,2003,10.8
Santa Lucía,2003,9.1
San Vicente y las Granadinas,2003,8.8
Suriname,2003,10.0
Trinidad y Tabago,2003,7.9
Estados Unidos de América,2003,6.6
Uruguay,2003,8.4
Venezuela (República Bolivariana de),2003,9.0
Antigua y Barbuda,2004,8.6
Argentina,2004,8.5
Bahamas,2004,11.1
Barbados,2004,9.9
Belice,2004,10.4
Bolivia (Estado Plurinacional de),2004,6.7
Brasil,2004,7.2
Canadá,2004,5.5
Chile,2004,9.1
Colombia,2004,7.6
Costa Rica,2004,7.6
Cuba,2004,7.5
Dominica,2004,9.1
República Dominicana,2004,8.3
Ecuador,2004,6.6
El Salvador,2004,8.9
Granada,2004,8.5
Guatemala,2004,8.1
Guyana,2004,8.2
Haití,2004,6.6
Honduras,2004,7.2
Jamaica,2004,9.0
México,2004,10.0
Nicaragua,2004,8.6
Panamá,2004,7.8
Paraguay,2004,6.6
Perú,2004,6.8
