Account ownership at a financial institution or with a mobile-money-service provider (% of population ages 15+),"Birth rate, crude (per 1,000 people)",CO2 emissions (kg per PPP $ of GDP),Capital health expenditure (% of GDP),"Compulsory education, duration (years)",Control of Corruption: Estimate,"Current health expenditure per capita, PPP (current international $)","Death rate, crude (per 1,000 people)",Diabetes prevalence (% of population ages 20 to 79),Domestic general government health expenditure (% of GDP),"Domestic general government health expenditure per capita, PPP (current international $)",Domestic private health expenditure (% of current health expenditure),"Educational attainment, at least Bachelor's or equivalent, population 25+, total (%) (cumulative)","Educational attainment, at least completed lower secondary, population 25+, total (%) (cumulative)","Fertility rate, total (births per woman)","GDP, PPP (constant 2017 international $)",Gini index,"Government expenditure on education, total (% of GDP)","Infant and young child feeding practices, all 3 IYCF (% children ages 6-23 months)","Life expectancy at birth, female (years)","Life expectancy at birth, male (years)","Life expectancy at birth, total (years)","Literacy rate, adult total (% of people ages 15 and above)","Mortality rate, adult, female (per 1,000 female adults)","Mortality rate, adult, male (per 1,000 male adults)","Mortality rate, infant (per 1,000 live births)",Number of neonatal deaths,"PM2.5 air pollution, population exposed to levels exceeding WHO guideline value (% of total)",People using at least basic sanitation services (% of population),People using safely managed drinking water services (% of population),Political Stability and Absence of Violence/Terrorism: Estimate,"Population ages 80 and above, female","Population ages 80 and above, male",Population density (people per sq. km of land area),"Population, female","Population, female (% of total population)","Population, male","Population, male (% of total population)","Population, total",Poverty gap at $6.85 a day (2017 PPP) (%),Pregnant women receiving prenatal care (%),Prevalence of overweight (% of adults),"Prevalence of overweight, weight for height (% of children under 5)",Prevalence of undernourishment (% of population),Rural population (% of total population),"Total alcohol consumption per capita (liters of pure alcohol, projected estimates, 15+ years of age)","Unemployment, total (% of total labor force) (modeled ILO estimate)",Urban population,Urban population (% of total population)
0.0,59.487,0.733143206821629,0.17492744999999998,33.0,2.584612727165223,2412.680395557888,19.761,0.0,8.18307282,1395.6420517317451,125.41526412,0.0,0.0,6.588000000000001,4175816110.01466,0.0,0.0,0.0,232.86,214.50900000000001,223.81799999999998,0.0,283.293,480.66900000000004,37.8,42.0,300.0,0.0,0.0,2.1397050619125357,2790.0,1557.0,511.738636363635,119244.0,158.8754913063753,105921.0,141.1245086936247,225165.0,0.0,299.70000000000005,118.19999999999999,0.0,0.0,203.61900000000003,15.881219999999999,0.0,72339.0,96.381
0.0,54.273,0.773746854993687,0.20220375,33.0,0.0,2672.853324801942,18.915,0.0,9.63877629,1579.0843385566561,122.54509734000001,0.0,0.0,6.053999999999999,3985899848.32254,0.0,0.0,0.0,234.408,215.73600000000002,225.234,296.8499908447266,271.179,468.177,36.900000000000006,39.0,0.0,0.0,0.0,0.0,2784.0,1545.0,519.647727272727,121149.0,158.9568982483764,107493.0,141.03916551859862,228645.0,0.0,0.0,120.0,0.0,0.0,204.78000000000003,0.0,0.0,72573.0,95.22
0.0,34.404,0.523365776389626,0.10911892,22.0,1.70042073726654,1755.900407885982,12.144,0.0,6.18032218,1026.11198213214,82.84989166,0.0,0.0,3.88,2684568437.4913,0.0,6.79050016403198,0.0,156.866,144.96,151.072,0.0,176.7,300.394,23.8,24.0,0.0,0.0,0.0,1.585119843482972,1862.0,1026.0,350.886363636364,81788.0,105.9498672193794,72602.0,94.0501327806206,154390.0,0.0,184.0,81.0,0.0,0.0,137.804,0.0,0.0,48012.0,62.196
0.0,33.042,0.520798740583248,0.14142732,22.0,1.708240151405334,1979.546264455868,12.284,0.0,6.68752002,1185.919120600676,80.18273926,0.0,0.0,3.774,2847697411.44272,0.0,0.0,0.0,156.02,145.484,150.956,0.0,184.666,296.666,23.0,24.0,0.0,0.0,0.0,1.731380224227906,1868.0,1020.0,354.886363636364,82658.0,105.8699967979506,73490.0,94.1274415626,156150.0,0.0,0.0,82.0,0.0,0.0,139.072,0.0,0.0,47570.0,60.928
0.0,32.026,0.488436519163794,0.07595304,22.0,1.679712057113648,1949.422971217584,12.15,0.0,5.93874598,1131.31249944223,83.84741974,0.0,0.0,3.704,3011924935.93822,0.0,0.0,0.0,155.928,146.306,151.344,0.0,186.446,289.528,22.2,22.0,0.0,0.0,0.0,2.16927123069764,1872.0,1012.0,358.822727272728,83506.0,105.7827998125182,74376.0,94.2172001874818,157882.0,0.0,200.0,83.0,0.0,0.0,140.326,0.0,0.0,47108.0,59.674
0.0,31.336,0.456049696434626,0.1324065,22.0,1.48489236831665,2063.6514342321,12.03,0.0,5.55218316,1147.856856703772,88.44464874,0.0,0.0,3.664,3206911875.66804,0.0,0.0,0.0,156.738,146.14,151.65,0.0,180.57,294.316,21.2,20.0,200.0,0.0,0.0,1.661025047302246,1880.0,1008.0,363.04090909091,84418.0,105.6955765065294,75320.0,94.3044234934706,159738.0,0.0,199.8,84.2,0.0,0.0,141.564,11.90458,0.0,46672.0,58.436
0.0,31.022,0.414711784087436,0.05056886,22.0,2.23923254013062,2195.24198756418,12.154,0.0,4.9041357,1162.482398907508,93.81143952,0.0,0.0,3.662,3614451000.1431,0.0,0.0,0.0,156.698,145.944,151.53,0.0,181.718,299.294,20.2,20.0,0.0,0.0,0.0,1.59964144229889,1876.0,1006.0,367.704545454546,85430.0,105.60603251128,76362.0,94.3964398294084,161790.0,0.0,0.0,85.2,0.0,0.0,142.788,0.0,0.0,46282.0,57.212
0.0,31.274,0.389065004579232,0.13688316,22.0,2.29393410682678,2333.22493270676,11.828,0.0,4.564569,1197.69878531158,97.04995728,0.0,0.0,3.72,3951150960.05968,0.0,0.0,0.0,157.538,146.554,152.262,0.0,175.532,293.898,19.4,18.0,0.0,0.0,0.0,1.605340361595154,1870.0,996.0,372.8,86540.0,105.5159968786578,77490.0,94.4815645727662,164032.0,0.0,200.0,86.2,0.0,0.0,143.996,0.0,0.0,45932.0,56.004
0.0,51.117000000000004,0.58485614838687,0.1981731,33.0,3.8303260803222603,3320.3955714322797,17.439,0.0,6.39668799,1685.568816738822,147.14479065,0.0,0.0,6.1259999999999994,5925876508.87911,0.0,0.0,0.0,237.26399999999998,220.527,229.23,0.0,256.113,434.514,27.599999999999998,30.0,0.0,0.0,0.0,2.44167548418045,2829.0,1488.0,567.620454545454,131649.0,158.1350374169679,118101.0,141.86135902271428,249753.0,0.0,300.0,130.8,0.0,0.0,217.785,0.0,0.0,68445.0,82.215
0.0,49.896,0.699415739705724,0.21462620999999998,33.0,3.9532949924469003,2884.661780835123,17.181,0.0,6.87937404,1583.52168979239,135.23345946,0.0,0.0,6.017999999999999,5216981842.782089,0.0,7.52666974067688,0.0,237.91500000000002,221.38800000000003,230.007,0.0,250.488,424.932,26.400000000000002,27.0,0.0,292.01478714241375,0.0,2.165380597114563,2874.0,1494.0,576.368181818181,133566.0,158.00269713961228,120036.0,141.9973028603874,253602.0,0.0,0.0,132.3,0.0,0.0,219.546,0.0,0.0,68010.0,80.45400000000001
