País,Año,"Birth rate, crude (per 1,000 people)",CO2 emissions (kg per PPP $ of GDP),Capital health expenditure (% of GDP),"Compulsory education, duration (years)",Control of Corruption: Estimate,"Current health expenditure per capita, PPP (current international $)","Death rate, crude (per 1,000 people)",Diabetes prevalence (% of population ages 20 to 79),Domestic general government health expenditure (% of GDP),"Domestic general government health expenditure per capita, PPP (current international $)",Domestic private health expenditure (% of current health expenditure),"Fertility rate, total (births per woman)","GDP, PPP (constant 2017 international $)",Gini index,"Government expenditure on education, total (% of GDP)","Life expectancy at birth, female (years)","Life expectancy at birth, male (years)","Life expectancy at birth, total (years)","Mortality rate, adult, female (per 1,000 female adults)","Mortality rate, adult, male (per 1,000 male adults)","Mortality rate, infant (per 1,000 live births)",Number of neonatal deaths,"PM2.5 air pollution, population exposed to levels exceeding WHO guideline value (% of total)",People using at least basic sanitation services (% of population),People using safely managed drinking water services (% of population),Political Stability and Absence of Violence/Terrorism: Estimate,"Population ages 80 and above, female","Population ages 80 and above, male",Population density (people per sq. km of land area),"Population, female","Population, female (% of total population)","Population, male","Population, male (% of total population)","Population, total",Poverty gap at $6.85 a day (2017 PPP) (%),Pregnant women receiving prenatal care (%),Prevalence of overweight (% of adults),"Prevalence of overweight, weight for height (% of children under 5)",Prevalence of undernourishment (% of population),Rural population (% of total population),"Unemployment, total (% of total labor force) (modeled ILO estimate)",Urban population,Urban population (% of total population),"Proportion of adults who are obese, 20 years old and over ,by sex",Gasto público social según la clasificación por funciones del gobierno,"Age-standardized prevalence of current tobacco use among persons aged 15 years and older, by sex"
Argentina,2001,56.949,0.898407993079149,0.00847653,30,0.0,3135.35580704112,22.647,0.0,13.77630759,1719.80666681266,134.84165955,7.593,1969356745054.66,159.899999999999,14.501220703125,232.77,212.247,222.558,298.266,523.623,51.0,23553,0.0,264.407817629122,0.0,0.0,1561683,716826,41.0866700283921,56989107,152.050046406806,55452372,147.949953593193,112441479,44.7,292.5,164.7,0.0,9.0,32.013,51.96,100442850,267.987,20.9,26756.2,0.0
Argentina,2002,75.024,1.24134741007694,0.01158844,40,-1.66822290420532,3306.01303950567,30.072,0.0,16.13401984,1803.63290787366,173.90608216,9.972,2339740630991.81,215.2,16.0693607330322,312.3,283.008,297.632,382.32,699.868,65.6,30528,0.0,354.413576123518,0.0,-3.10618162155151,2175060,992140,55.3735030273796,76805388,202.732826276385,74734724,197.267173723614,151540112,87.2,0.0,222.0,0.0,15.2,41.96,78.36,135643556,358.04,19.6,26838.9,0.0
Argentina,2003,73.812,1.21552482933143,0.05863256,40,-1.91990721225738,3382.6191387565,31.456,0.0,15.08862592,1850.71262131727,179.776474,9.804,2546504465067.75,203.6,14.1401996612548,309.104,283.32,296.32,411.72,697.296,63.2,29028,0.0,356.278250422506,0.0,-1.43935251235962,2262860,1028192,55.9481183473468,77593848,202.710474828416,75518804,197.289514721761,153112656,50.0,0.0,224.0,0.0,18.0,41.256,61.44,137320616,358.744,21.8,30879.8,0.0
Argentina,2004,73.408,1.20242835815119,0.11602692,40,-1.65763819217682,3515.70764876169,29.92,0.0,14.97753428,1821.1004242382,167.64378356,9.72,2776442952346.17,193.6,13.9460802078247,312.412,286.12,299.42,383.472,661.936,61.2,27572,0.0,358.140270645388,0.0,-2.44373965263366,2349576,1067292,56.5190737716,78367184,202.662591304885,76308004,197.337419039372,154675184,39.6,0.0,226.4,0.0,16.0,40.56,54.08,138991120,359.44,20.6,37568.4,0.0
Argentina,2005,91.765,1.38256919992626,0.0987884,50,-1.88869178295135,5139.98189232505,37.115,0.0,19.5669973,2642.9327823271,236.9890976,12.13,3777755300455.49,238.5,19.3000495433807,392.635,358.46,375.695,462.25,819.24,74.0,32870,497.057519582001,449.998664085666,0.0,-0.208874717354774,3058985,1386665,71.3827671384045,98956775,253.277466291,96395725,246.722520911621,195352505,40.0,496.0,285.5,45.0,18.5,49.8449999999999,57.55,175877815,450.155,22.8,46402.4,36.9
Argentina,2006,90.97,1.31715514394158,0.0669189,65,-1.65619269013405,5684.75047846675,36.845,0.0,20.09494545,2990.31012317822,235.35736085,12.0,4081756992798.68,231.5,20.6410503387451,393.58,360.33,377.165,454.47,797.685,72.0,31355,0.0,452.318930357554,0.0,0.0098388141486794,3186180,1440565,72.1251785916564,99963735,253.221147249055,97420520,246.778852750945,197384255,31.5,0.0,288.0,0.0,17.0,49.0,50.4,178040600,451.0,21.7,60060.2,0.0
Argentina,2007,90.0249999999999,1.23653561025064,0.08678345,65,-1.86061039566993,6459.70473320454,38.74,0.0,21.27458095,3508.24254370209,227.3046875,11.85,4449427412277.82,231.0,22.3130011558532,392.575,357.434999999999,375.03,462.615,837.314999999999,70.5,30150,0.0,454.635183356346,0.0,0.488983169198035,3309840,1489505,72.8546364403715,100953655,253.168256553403,98426905,246.831755985432,199380555,27.5,0.0,291.0,0.0,16.5,48.17,42.35,180172230,451.83,23.7,80690.0,0.0
Argentina,2008,71.248,0.958041483319284,0.08654036,52,-1.73950004577636,5669.10374845288,29.868,0.0,18.03418732,3123.59347449837,175.90301512,9.364,3703960843330.69,179.6,19.3776397705078,315.708,289.104,302.564,355.64,630.068,54.8,23232,0.0,365.55885911866,0.0,-0.351022750139236,2743728,1229156,58.8649339165196,81550872,202.491284091141,79544204,197.508715908858,161095076,20.4,0.0,234.8,0.0,13.2,37.88,31.36,145839372,362.12,22.7,104933.5,0.0
Argentina,2009,71.396,0.947301449552652,0.14834112,52,-1.78190040588378,6147.83957667628,29.64,0.0,22.67931364,3686.2534182798,159.00794984,9.376,3484740992000.0,174.8,22.1242008209228,316.28,290.776,303.744,349.332,609.864,53.6,22624,0.0,367.406531614804,0.0,-0.939418315887452,2836336,1270852,59.4650296526096,82355928,202.426614389055,80381428,197.573395442737,162737352,18.4,0.0,236.8,0.0,12.8,37.236,34.6,147588132,362.764,24.7,140267.3,0.0
Argentina,2010,71.48,0.907852874367648,0.10043324,52,-1.4209201335907,6772.38626868932,30.644,0.0,22.27337076,3992.49470653427,162.92582704,9.384,3837584892148.83,174.4,20.0788402557373,315.352,290.064,302.884,355.312,617.468,51.6,22236,397.79056529297,369.25131919031,0.0,-0.3391914665699,2893824,1299488,59.617206187036,82535864,202.35105379125,80617944,197.648936476418,163153812,14.8,0.0,238.8,0.0,12.4,36.604,30.84,148223608,363.396,23.8,183913.7,28.9
